,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
143,Fairhills High School,Secondary,FERNTREE GULLY,3156,61027.0,KNOXFIELD,24.0,1.0
144,St Joseph's College,Secondary,FERNTREE GULLY,3156,61027.0,ECHUCA,29.0,3.6
145,St Joseph's College,Secondary,FERNTREE GULLY,3156,61027.0,FERNTREE GULLY,32.0,7.9
146,St Joseph's College,Secondary,FERNTREE GULLY,3156,61027.0,MILDURA,29.0,4.2
147,St Joseph's College,Secondary,FERNTREE GULLY,3156,61027.0,NEWTOWN,31.0,8.8
148,Upwey High School,Secondary,UPWEY,3158,62800.0,UPWEY,26.0,3.1
149,Mater Christi College,Secondary,BELGRAVE,3160,62287.0,BELGRAVE,32.0,8.3
150,Oakwood School,Secondary,CAULFIELD NORTH,3161,73318.0,CAULFIELD NORTH,,
151,Bentleigh Secondary College,Secondary,BENTLEIGH EAST,3165,70479.0,BENTLEIGH EAST,29.0,5.5
152,St James'  College,Secondary,BENTLEIGH EAST,3165,70479.0,,,
153,Sacred Heart Girls' College,Secondary,OAKLEIGH,3166,63293.0,HUGHESDALE,34.0,12.9
154,South Oakleigh Secondary College,Secondary,OAKLEIGH SOUTH,3167,61241.0,,,
155,Westall Secondary College,Secondary,CLAYTON SOUTH,3169,51742.0,CLAYTON SOUTH,27.0,3.5
156,Wellington Secondary College,Secondary,MULGRAVE,3170,60286.0,MULGRAVE,29.0,5.6
157,Mazenod College,Secondary,MULGRAVE,3170,60286.0,MULGRAVE,32.0,10.9
158,Nazareth College,Secondary,WAVERLEY GARDENS,3170,60286.0,NOBLE PARK NORTH,29.0,9.1
159,Killester College,Secondary,SPRINGVALE,3171,43919.0,SPRINGVALE,31.0,3.7
160,Keysborough Secondary College,Secondary,SPRINGVALE SOUTH,3172,53203.0,,,
161,Noble Park Secondary College,Secondary,NOBLE PARK,3174,46736.0,NOBLE PARK,25.0,1.5
162,Lyndale Secondary College,Secondary,DANDENONG NORTH,3175,48060.0,DANDENONG NORTH,28.0,1.1
163,Dandenong High School,Secondary,DANDENONG,3175,48060.0,DANDENONG,24.0,1.6
164,St John's Regional College,Secondary,DANDENONG,3175,48060.0,DANDENONG,25.0,1.3
165,Rowville Secondary College,Secondary,ROWVILLE,3178,62252.0,ROWVILLE,25.0,1.9
166,Scoresby Secondary College,Secondary,SCORESBY,3179,58242.0,SCORESBY,25.0,1.1
167,Prahran High School,Secondary,WINDSOR,3181,78771.0,,,
168,Presentation College Windsor,Secondary,WINDSOR,3181,78771.0,,,
169,St Marys College Melbourne,Secondary,ST KILDA,3182,69095.0,,,
170,Elwood College,Secondary,ELWOOD,3184,80576.0,ELWOOD,30.0,3.7
171,Star of the Sea College,Secondary,BRIGHTON,3186,103637.0,BRIGHTON,34.0,16.9
172,Brighton Secondary College,Secondary,BRIGHTON EAST,3187,91512.0,BRIGHTON EAST,30.0,9.0
173,Cheltenham Secondary College,Secondary,MOORABBIN,3189,67481.0,CHELTENHAM,29.0,5.7
174,Sandringham College,Secondary,SANDRINGHAM,3191,90913.0,SANDRINGHAM,30.0,7.9
175,Beaumaris Secondary College,Secondary,BEAUMARIS,3193,88820.0,,,
176,Tombolo Academy,Secondary,BEAUMARIS,3193,88820.0,,,
177,Mentone Girls Secondary College,Secondary,MENTONE,3194,70211.0,,,
178,Kilbreda College,Secondary,MENTONE,3194,70211.0,MENTONE,33.0,13.1
179,St Bede's College,Secondary,MENTONE,3194,70211.0,MENTONE,30.0,5.9
180,Mordialloc College,Secondary,MORDIALLOC,3195,70672.0,MORDIALLOC,30.0,7.7
181,Parkdale Secondary College,Secondary,MORDIALLOC,3195,70672.0,MORDIALLOC,30.0,4.5
182,Patterson River Secondary College,Secondary,SEAFORD,3198,59323.0,,,
183,Mount Erin Secondary College,Secondary,FRANKSTON SOUTH,3199,58074.0,,,
184,Frankston High School,Secondary,FRANKSTON,3199,58074.0,FRANKSTON,31.0,9.8
185,McClelland Secondary College,Secondary,FRANKSTON,3199,58074.0,FRANKSTON,29.0,3.6
186,John Paul College,Secondary,FRANKSTON EAST,3199,58074.0,FRANKSTON,29.0,5.3
187,Monterey Secondary College,Secondary,FRANKSTON NORTH,3200,47617.0,FRANKSTON NORTH,26.0,0.0
188,Carrum Downs Secondary College,Secondary,CARRUM DOWNS,3201,55508.0,,,
189,McKinnon Secondary College,Secondary,MCKINNON,3204,74927.0,MCKINNON,33.0,17.2
190,Our Lady of the Sacred Heart College,Secondary,BENTLEIGH,3204,74927.0,,,
191,Youth2Industry College,Secondary,SOUTH MELBOURNE,3205,84350.0,,,
192,Albert Park College,Secondary,ALBERT PARK,3206,115483.0,ALBERT PARK,31.0,10.1
