,School Name,School Type,Locality,Postcode,Average Income in Postcode 
242,Kyneton High School,Secondary,KYNETON,3444,59453.0
243,Sacred Heart College,Secondary,KYNETON,3444,59453.0
244,Castlemaine Secondary College,Secondary,CASTLEMAINE,3450,51187.0
245,Daylesford Secondary College,Secondary,DAYLESFORD,3460,52140.0
246,Highview College,Secondary,MARYBOROUGH,3465,45704.0
247,St Arnaud Secondary College,Secondary,ST ARNAUD,3478,46251.0
248,Donald High School,Secondary,DONALD,3480,43844.0
249,Red Cliffs Secondary College,Secondary,RED CLIFFS,3496,46034.0
250,Irymple Secondary College,Secondary,IRYMPLE,3498,50483.0
251,St Joseph's College Mildura,Secondary,MILDURA,3500,49597.0
252,Chaffey Secondary College,Secondary,MILDURA,3502,
253,Mildura Senior College,Secondary,MILDURA,3502,
254,Bendigo South East 7-10 Secondary College,Secondary,STRATHDALE,3550,54143.0
255,Catherine McAuley College,Secondary,BENDIGO,3550,54143.0
256,Weeroona College Bendigo,Secondary,BENDIGO,3552,
257,Bendigo Senior Secondary College,Secondary,BENDIGO,3552,
258,Crusoe 7-10 Secondary College,Secondary,KANGAROO FLAT,3555,51114.0
259,Eaglehawk Secondary College,Secondary,EAGLEHAWK,3556,48910.0
260,Rochester Secondary College,Secondary,ROCHESTER,3561,47891.0
261,Echuca College,Secondary,ECHUCA,3564,50340.0
262,St Joseph's College,Secondary,ECHUCA,3564,50340.0
263,Cohuna Secondary College,Secondary,COHUNA,3568,46986.0
264,Kerang Technical High School,Secondary,KERANG,3579,44221.0
265,Swan Hill College,Secondary,SWAN HILL,3585,48911.0
266,St Mary MacKillop College,Secondary,SWAN HILL,3585,48911.0
267,Greater Shepparton Secondary College,Secondary,SHEPPARTON,3630,48998.0
268,Notre Dame College,Secondary,SHEPPARTON,3630,48998.0
269,Shepparton ACE Secondary College,Secondary,SHEPPARTON,3630,48998.0
270,Numurkah Secondary College,Secondary,NUMURKAH,3636,49516.0
271,Nathalia Secondary College,Secondary,NATHALIA,3638,47446.0
272,St Mary of the Angels College,Secondary,NATHALIA,3638,47446.0
273,Cobram Secondary College,Secondary,COBRAM,3644,48339.0
274,Broadford Secondary College,Secondary,BROADFORD,3658,57282.0
275,Euroa Secondary College,Secondary,EUROA,3666,48785.0
276,FCJ College,Secondary,BENALLA,3672,50217.0
277,Wangaratta High School,Secondary,WANGARATTA,3676,
278,Galen Catholic College,Secondary,WANGARATTA,3676,
279,Rutherglen High School,Secondary,RUTHERGLEN,3685,51974.0
280,Catholic College Wodonga,Secondary,WODONGA,3689,
281,Wodonga Senior Secondary College,Secondary,WODONGA,3690,53698.0
282,Mount Beauty Secondary College,Secondary,MOUNT BEAUTY,3699,45491.0
283,Tallangatta Secondary College,Secondary,TALLANGATTA,3700,48239.0
284,Rubicon Outdoor School,Secondary,THORNTON,3712,51202.0
285,Alexandra Secondary College,Secondary,ALEXANDRA,3714,49870.0
286,Yea High School,Secondary,YEA,3717,51386.0
287,Mansfield Secondary College,Secondary,MANSFIELD,3724,
288,Sacred Heart College,Secondary,YARRAWONGA,3730,49949.0
289,Marian College,Secondary,MYRTLEFORD,3737,48539.0
290,Beechworth Secondary College,Secondary,BEECHWORTH,3747,52145.0
291,Edgars Creek Secondary College,Secondary,WOLLERT,3750,57135.0
292,Wallan Secondary College,Secondary,WALLAN,3756,59117.0
293,Whittlesea Secondary College,Secondary,WHITTLESEA,3757,59011.0
294,Assumption College,Secondary,KILMORE,3764,59784.0
295,Healesville High School,Secondary,HEALESVILLE,3777,53943.0
296,Emerald Secondary College,Secondary,EMERALD,3782,60982.0
297,Monbulk College,Secondary,MONBULK,3793,54527.0
298,Upper Yarra Secondary College,Secondary,YARRA JUNCTION,3797,51162.0
299,John Monash Science School,Secondary,MONASH UNIVERSITY,3800,33410.0
300,Gleneagles Secondary College,Secondary,ENDEAVOUR HILLS,3802,54567.0
301,Hallam Senior Secondary College,Secondary,HALLAM,3803,50194.0
302,Fountain Gate Secondary College,Secondary,HALLAM,3803,50194.0
303,Nossal High School,Secondary,NARRE WARREN,3805,55224.0
304,Alkira Secondary College,Secondary,NARRE WARREN SOUTH,3805,55224.0
305,Berwick Secondary College,Secondary,BERWICK,3806,62547.0
306,Kambrya College,Secondary,BERWICK,3806,62547.0
307,St Francis Xavier College,Secondary,BEACONSFIELD,3807,64424.0
308,Officer Secondary College,Secondary,OFFICER,3809,60421.0
309,Pakenham Secondary College,Secondary,PAKENHAM,3810,55168.0
310,Edenbrook Secondary College,Secondary,PAKENHAM,3810,55168.0
311,Drouin Secondary College,Secondary,DROUIN,3818,53660.0
312,Warragul Regional College,Secondary,WARRAGUL,3820,56982.0
313,Marist-Sion College,Secondary,WARRAGUL,3820,56982.0
314,Trafalgar High School,Secondary,TRAFALGAR,3824,59030.0
315,Lowanna College,Secondary,MOE,3825,56857.0
316,Neerim District Secondary College,Secondary,NEERIM SOUTH,3831,55740.0
317,Kurnai College,Secondary,MORWELL BC,3841,
318,Traralgon College,Secondary,TRARALGON,3844,64749.0
319,Lavalla Catholic College,Secondary,TRARALGON,3844,64749.0
320,Sale College,Secondary,SALE,3850,60713.0
321,Catholic College Sale,Secondary,SALE,3850,60713.0
322,Maffra Secondary College,Secondary,MAFFRA,3860,57118.0
323,Mirboo North Secondary College,Secondary,MIRBOO NORTH,3871,57041.0
324,Bairnsdale Secondary College,Secondary,BAIRNSDALE,3875,49920.0
325,Nagle College,Secondary,BAIRNSDALE,3875,49920.0
326,Orbost Secondary College,Secondary,ORBOST,3888,47465.0
327,Lakes Entrance Secondary College,Secondary,LAKES ENTRANCE,3909,45859.0
328,Elisabeth Murdoch College,Secondary,LANGWARRIN,3910,59969.0
329,Somerville Secondary College,Secondary,SOMERVILLE,3912,57912.0
330,Western Port Secondary College,Secondary,HASTINGS,3915,53162.0
331,Mount Eliza Secondary College,Secondary,MOUNT ELIZA,3930,74841.0
332,Mornington Secondary College,Secondary,MORNINGTON,3931,59820.0
333,Padua College,Secondary,MORNINGTON,3931,59820.0
334,Dromana Secondary College,Secondary,DROMANA,3936,55790.0
335,Rosebud Secondary College,Secondary,ROSEBUD,3939,50947.0
336,Korumburra Secondary College,Secondary,KORUMBURRA,3950,51482.0
337,Leongatha Secondary College,Secondary,LEONGATHA,3953,51028.0
338,Mary MacKillop Catholic Regional College,Secondary,LEONGATHA,3953,51028.0
339,Foster Secondary College,Secondary,FOSTER,3960,49704.0
340,Yarram Secondary College,Secondary,YARRAM,3971,47997.0
341,Hampton Park Secondary College,Secondary,HAMPTON PARK,3976,50053.0
342,Lyndhurst Secondary College,Secondary,CRANBOURNE,3977,55776.0
343,Cranbourne Secondary College,Secondary,CRANBOURNE,3977,55776.0
344,Cranbourne West Secondary College,Secondary,CRANBOURNE WEST,3977,55776.0
345,Cranbourne East Secondary College,Secondary,CRANBOURNE,3977,55776.0
346,St Peter's College,Secondary,CRANBOURNE,3977,55776.0
347,Koo Wee Rup Secondary College,Secondary,KOO WEE RUP,3981,52940.0
348,Wonthaggi Secondary College,Secondary,WONTHAGGI,3995,45961.0
349,Village High School,Secondary,WONTHAGGI,3995,45961.0
