School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Lyndale Secondary College,DANDENONG NORTH,3175,48060.0,45000.0,28.0,1.1
Dandenong High School,DANDENONG,3175,48060.0,45000.0,24.0,1.6
St John's Regional College,DANDENONG,3175,48060.0,45000.0,25.0,1.3
Cornish College,BANGHOLME,3175,48060.0,45000.0,29.0,5.3
Rowville Secondary College,ROWVILLE,3178,62252.0,54788.0,25.0,1.9
Scoresby Secondary College,SCORESBY,3179,58242.0,51812.0,25.0,1.1
St Michael's Grammar School,ST KILDA,3182,69095.0,57970.0,32.0,12.7
Yeshivah College,ST KILDA EAST,3183,67852.0,57267.0,34.0,15.9
Beth Rivkah Ladies College,ST KILDA EAST,3183,67852.0,57267.0,37.0,30.2
Elwood College,ELWOOD,3184,80576.0,64548.0,30.0,3.7
Yesodei HaTorah College,ELWOOD,3184,80576.0,64548.0,33.0,0.0
Caulfield Grammar School,ELSTERNWICK,3185,79823.0,60544.0,34.0,21.1
Caulfield Grammar School,ELSTERNWICK,3185,79823.0,60544.0,35.0,20.1
Star of the Sea College,BRIGHTON,3186,103637.0,60517.0,34.0,16.9
Firbank Grammar School,BRIGHTON,3186,103637.0,60517.0,35.0,22.9
Brighton Grammar School,BRIGHTON,3186,103637.0,60517.0,35.0,25.1
Brighton Secondary College,BRIGHTON EAST,3187,91512.0,61966.0,30.0,9.0
St Leonard's College,BRIGHTON EAST,3187,91512.0,61966.0,34.0,17.2
Cheltenham Secondary College,MOORABBIN,3189,67481.0,57136.0,29.0,5.7
St Catherine's School,MOORABBIN,3189,67481.0,57136.0,35.0,25.0
Sandringham College,SANDRINGHAM,3191,90913.0,62938.0,30.0,7.9
Kilbreda College,MENTONE,3194,70211.0,59819.0,33.0,13.1
Mentone Grammar School,MENTONE,3194,70211.0,59819.0,34.0,16.7
Mentone Girls' Grammar School,MENTONE,3194,70211.0,59819.0,35.0,17.9
St Bede's College,MENTONE,3194,70211.0,59819.0,30.0,5.9
Mordialloc College,MORDIALLOC,3195,70672.0,59343.0,30.0,7.7
Parkdale Secondary College,MORDIALLOC,3195,70672.0,59343.0,30.0,4.5
Frankston High School,FRANKSTON,3199,58074.0,51193.0,31.0,9.8
McClelland Secondary College,FRANKSTON,3199,58074.0,51193.0,29.0,3.6
John Paul College,FRANKSTON EAST,3199,58074.0,51193.0,29.0,5.3
Bayside Christian College,FRANKSTON,3199,58074.0,51193.0,30.0,5.0
Monterey Secondary College,FRANKSTON NORTH,3200,47617.0,46146.0,26.0,0.0
McKinnon Secondary College,MCKINNON,3204,74927.0,57544.0,33.0,17.2
Kilvington Grammar School,ORMOND,3204,74927.0,57544.0,35.0,20.2
Albert Park College,ALBERT PARK,3206,115483.0,71490.0,31.0,10.1
Lara Secondary College,LARA,3212,62541.0,56564.0,25.0,0.0
Northern Bay P-12 College,CORIO,3214,46424.0,44411.0,24.0,1.9
Geelong Grammar School,CORIO,3214,46424.0,44411.0,31.0,8.7
Grovedale College,GROVEDALE,3216,58795.0,50315.0,25.0,2.0
Belmont High School,BELMONT,3216,58795.0,50315.0,28.0,6.3
Oberon High School,ARMSTRONG CREEK,3216,58795.0,50315.0,29.0,4.0
Clonard College,HERNE HILL,3218,63271.0,54692.0,30.0,5.6
Geelong High School,EAST GEELONG,3219,53124.0,48451.0,27.0,3.1
Newcomb Secondary College,NEWCOMB,3219,53124.0,48451.0,26.0,3.2
St Margaret's School,GEELONG EAST,3219,53124.0,48451.0,35.0,27.9
Sacred Heart College,NEWTOWN,3220,66052.0,52212.0,28.0,3.4
The Geelong College,NEWTOWN,3220,66052.0,52212.0,32.0,13.0
Geelong Lutheran College,GEELONG,3220,66052.0,52212.0,28.0,4.2
Covenant College,GEELONG,3221,65830.0,52818.0,30.0,8.0
Geelong Baptist College,LOVELY BANKS,3221,65830.0,52818.0,25.0,1.9
Bellarine Secondary College,DRYSDALE,3222,55743.0,49770.0,26.0,3.1
Lorne P-12 College,LORNE P-12 COLLEGE,3232,43508.0,38098.0,27.0,1.9
Apollo Bay P-12 College,APOLLO BAY,3233,42557.0,35944.0,29.0,1.5
Lavers Hill K-12 College,LAVERS HILL,3238,43306.0,39088.0,27.0,0.0
Colac Secondary College,COLAC,3250,50264.0,47314.0,24.0,1.1
Camperdown College,CAMPERDOWN,3260,48579.0,43935.0,29.0,8.1
Mercy Regional College,CAMPERDOWN,3260,48579.0,43935.0,26.0,1.1
Cobden Technical School,COBDEN,3266,48031.0,44458.0,25.0,0.0
Timboon P-12 School,TIMBOON,3268,46566.0,40580.0,28.0,1.0
Warrnambool College,WARRNAMBOOL,3280,51319.0,46242.0,26.0,2.7
Baimbridge College,HAMILTON,3300,49304.0,45316.0,24.0,0.7
Monivae College,HAMILTON,3300,49304.0,45316.0,28.0,4.5
Good Shepherd College,HAMILTON,3300,49304.0,45316.0,26.0,8.5
Portland Secondary College,PORTLAND,3305,56483.0,49104.0,28.0,3.2
Bayview College,PORTLAND,3305,56483.0,49104.0,30.0,4.2
Casterton Secondary College,CASTERTON,3311,47915.0,43740.0,33.0,4.2
Edenhope College,EDENHOPE,3318,44015.0,40400.0,27.0,3.0
Melton Secondary College,MELTON,3337,54689.0,51291.0,26.0,4.7
Kurunjang Secondary College,MELTON,3337,54689.0,51291.0,25.0,1.7
Catholic Regional College,MELTON,3337,54689.0,51291.0,28.0,2.0
Catholic Regional College,MELTON,3337,54689.0,51291.0,29.0,3.7
Melton Christian College,MELTON,3337,54689.0,51291.0,26.0,0.6
Staughton College,MELTON SOUTH,3338,56247.0,52408.0,27.0,3.1
Bacchus Marsh College,BACCHUS MARSH,3340,62158.0,55522.0,24.0,0.8
Bacchus Marsh Grammar,BACCHUS MARSH,3340,62158.0,55522.0,31.0,10.1
Mount Clear College,BALLARAT,3350,57283.0,50000.0,27.0,2.1
Loreto College,BALLARAT,3350,57283.0,50000.0,31.0,6.3
Damascus College,MOUNT CLEAR,3350,57283.0,50000.0,28.0,2.9
Ballarat Clarendon College,BALLARAT,3350,57283.0,50000.0,38.0,38.4
Ballarat High School,LAKE GARDENS,3355,50669.0,45840.0,28.0,3.9
Mount Rowan Secondary College,WENDOUREE,3355,50669.0,45840.0,25.0,0.0
Ballarat Grammar,WENDOUREE,3355,50669.0,45840.0,32.0,10.6
Ballarat Christian College,SEBASTOPOL,3356,48140.0,45583.0,29.0,2.4
Beaufort Secondary College,BEAUFORT,3373,51989.0,45790.0,28.0,0.0
Ararat Secondary College,ARARAT,3377,52066.0,47968.0,23.0,0.0
Stawell Secondary College,STAWELL,3380,51116.0,47322.0,25.0,2.4
Hopetoun P-12 College,HOPETOUN,3396,41611.0,39009.0,31.0,0.0
Nhill College,NHILL,3418,44368.0,43462.0,27.0,1.3
Rainbow P-12 College,RAINBOW,3424,42245.0,40551.0,28.0,0.0
Sunbury College,SUNBURY,3429,62356.0,55881.0,25.0,1.7
Salesian College,SUNBURY,3429,62356.0,55881.0,30.0,4.0
