School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Hume Central Sec College,BROADMEADOWS,26,0.5
Huntingtower School,MOUNT WAVERLEY,36,24.7
Ilim College,BROADMEADOWS,30,6.8
Ilim College Kiewa Campus,DALLAS,29,3.4
Islamic College of Melbourne,TARNEIT,30,5.8
Ivanhoe Girls' Grammar School,IVANHOE,35,25.7
Ivanhoe Grammar School,IVANHOE,32,11.1
Ivanhoe Grammar School,MERNDA,33,15.5
John Fawkner College,FAWKNER,20,1.1
John Monash Science School,CLAYTON,34,17.1
John Paul College,FRANKSTON,29,5.3
Kambrya College,BERWICK,31,6.4
Kangan Institute,BROADMEADOWS,,
Kaniva P-12 College,KANIVA,31,3.3
Kardinia Internatl College,BELL POST HILL,31,8.9
Keilor Downs College,KEILOR DOWNS,30,4.3
Kensington Comm High School,KENSINGTON,,
Kerang Christian College,KERANG,25,0
Kerang Technical High School,KERANG,28,6.5
Kew High School,KEW EAST,31,10.8
Keysborough SC - Acacia,KEYSBOROUGH,28,2.2
Keysborough SC - Banksia,SPRINGVALE SOUTH,28,2.3
Kilbreda College,MENTONE,33,13.1
Killester College,SPRINGVALE,31,3.7
Kilvington Grammar School,ORMOND,35,20.2
Kings College,WARRNAMBOOL,27,0
Kingswood College,BOX HILL,33,14.9
Kolbe Catholic College,GREENVALE,26,2
Koo Wee Rup Sec College,KOO WEE RUP,28,2
Koonung Secondary College,MONT ALBERT NORTH,32,9
Korowa Anglican Girls' School,GLEN IRIS,36,20.8
Korumburra Sec College,KORUMBURRA,27,5.2
Kurnai College,CHURCHILL,27,0.7
Kurunjang Secondary College,MELTON,25,1.7
Kyabram P-12 College,KYABRAM,27,0.4
Kyneton Secondary College,KYNETON,27,1.9
Lake Bolac College,LAKE BOLAC,,
Lakes Entrance Sec College,LAKES ENTRANCE,25,2.7
Lakeside Lutheran College,PAKENHAM,26,5.3
Lakeview Senior College,CAROLINE SPRINGS,28,5.1
Lalor North Sec College,EPPING,24,1.1
Lalor Secondary College,LALOR,27,0.7
Lara Secondary College,LARA,25,0
Lauriston Girls School,ARMADALE,35,24.3
Lavalla Catholic College,TRARALGON,28,5.4
Lavers Hill K-12 College,LAVERS HILL,27,0
Laverton P-12 College,LAVERTON,22,0.7
Leibler Yavneh College,ELSTERNWICK,35,23.5
Leongatha Secondary College,LEONGATHA,27,1.9
Lighthouse Christian College,KEYSBOROUGH,30,4.6
Lighthouse Christian College,CRANBOURNE,31,6.8
Lilydale Heights College,LILYDALE,25,0
Lilydale High School,LILYDALE,28,2
Little Yarra Steiner School,YARRA JUNCTION,,
Loreto College,BALLARAT,31,6.3
Loreto Mandeville Hall,TOORAK,36,29.3
Lorne P-12 College,LORNE,27,1.9
Lowanna College,NEWBOROUGH,27,2.5
Lowther Hall Anglican GS,ESSENDON,35,21.1
Loyola College,WATSONIA,30,4.9
Luther College,CROYDON HILLS,33,10.9
Lynall Hall Community School,RICHMOND,,
Lyndale Secondary College,DANDENONG NORTH,28,1.1
Lyndhurst Secondary College,CRANBOURNE,26,4.3
MacKillop Catholic Reg College,WERRIBEE,29,2.9
Macleod College,MACLEOD,25,2.8
Mac.Robertson Girls' High Schl,MELBOURNE,37,30.8
Maffra Secondary College,MAFFRA,26,2.6
