,School Name,School Type,Locality,Postcode,Average Income in Postcode ,VCE median study score,Percentage of study scores of 40 and over
175,Parkdale Secondary College,Secondary,MORDIALLOC,3195,70672.0,30.0,4.5
176,Patterson River Secondary College,Secondary,SEAFORD,3198,59323.0,,
177,Mount Erin Secondary College,Secondary,FRANKSTON SOUTH,3199,58074.0,,
178,Frankston High School,Secondary,FRANKSTON,3199,58074.0,31.0,9.8
179,McClelland Secondary College,Secondary,FRANKSTON,3199,58074.0,29.0,3.6
180,John Paul College,Secondary,FRANKSTON EAST,3199,58074.0,,
181,Monterey Secondary College,Secondary,FRANKSTON NORTH,3200,47617.0,26.0,0.0
182,Carrum Downs Secondary College,Secondary,CARRUM DOWNS,3201,55508.0,,
183,McKinnon Secondary College,Secondary,MCKINNON,3204,74927.0,33.0,17.2
184,Our Lady of the Sacred Heart College,Secondary,BENTLEIGH,3204,74927.0,,
185,Youth2Industry College,Secondary,SOUTH MELBOURNE,3205,84350.0,,
186,Albert Park College,Secondary,ALBERT PARK,3206,115483.0,31.0,10.1
187,Lara Secondary College,Secondary,LARA,3212,62541.0,25.0,0.0
188,North Geelong Secondary College,Secondary,NORTH GEELONG,3215,58232.0,,
189,Grovedale College,Secondary,GROVEDALE,3216,58795.0,25.0,2.0
190,Belmont High School,Secondary,BELMONT,3216,58795.0,28.0,6.3
191,Oberon High School,Secondary,ARMSTRONG CREEK,3216,58795.0,29.0,4.0
192,Iona College Geelong,Secondary,CHARLEMONT,3217,60216.0,,
193,Clonard College,Secondary,HERNE HILL,3218,63271.0,30.0,5.6
194,Geelong High School,Secondary,EAST GEELONG,3219,53124.0,27.0,3.1
195,Newcomb Secondary College,Secondary,NEWCOMB,3219,53124.0,26.0,3.2
196,Matthew Flinders Girls Secondary College,Secondary,GEELONG,3220,66052.0,,
197,Western Heights Secondary College,Secondary,GEELONG,3220,66052.0,,
198,Sacred Heart College,Secondary,NEWTOWN,3220,66052.0,,
199,St Joseph's College Geelong,Secondary,NEWTOWN,3220,66052.0,,
200,Bellarine Secondary College,Secondary,DRYSDALE,3222,55743.0,26.0,3.1
201,Saint Ignatius College Geelong,Secondary,DRYSDALE,3222,55743.0,,
202,Surf Coast Secondary College,Secondary,TORQUAY,3228,65548.0,,
203,Colac Secondary College,Secondary,COLAC,3250,50264.0,24.0,1.1
204,Trinity College Colac Inc,Secondary,COLAC,3250,50264.0,,
205,Mercy Regional College,Secondary,CAMPERDOWN,3260,48579.0,26.0,1.1
206,Cobden Technical School,Secondary,COBDEN,3266,48031.0,25.0,0.0
207,Brauer Secondary College,Secondary,WARRNAMBOOL,3280,51319.0,,
208,Warrnambool College,Secondary,WARRNAMBOOL,3280,51319.0,26.0,2.7
209,Emmanuel College Inc.,Secondary,WARRNAMBOOL,3280,51319.0,,
210,Baimbridge College,Secondary,HAMILTON,3300,49304.0,24.0,0.7
211,Monivae College,Secondary,HAMILTON,3300,49304.0,28.0,4.5
212,Heywood District Secondary College,Secondary,HEYWOOD,3304,50243.0,,
213,Portland Secondary College,Secondary,PORTLAND,3305,56483.0,28.0,3.2
214,Bayview College,Secondary,PORTLAND,3305,56483.0,30.0,4.2
215,Casterton Secondary College,Secondary,CASTERTON,3311,47915.0,33.0,4.2
216,Springside West Secondary College,Secondary,FRASER RISE,3336,,,
217,Melton Secondary College,Secondary,MELTON,3337,54689.0,26.0,4.7
218,Kurunjang Secondary College,Secondary,MELTON,3337,54689.0,25.0,1.7
219,Catholic Regional College,Secondary,MELTON,3337,54689.0,,
220,Staughton College,Secondary,MELTON SOUTH,3338,56247.0,27.0,3.1
221,Bacchus Marsh College,Secondary,BACCHUS MARSH,3340,62158.0,24.0,0.8
222,Mount Clear College,Secondary,BALLARAT,3350,57283.0,,
223,St Patrick's College Ballarat,Secondary,BALLARAT,3350,57283.0,,
224,Loreto College,Secondary,BALLARAT,3350,57283.0,31.0,6.3
225,Damascus College,Secondary,MOUNT CLEAR,3350,57283.0,28.0,2.9
226,Woodmans Hill Secondary College,Secondary,BAKERY HILL,3354,,,
227,Ballarat High School,Secondary,LAKE GARDENS,3355,50669.0,,
228,Mount Rowan Secondary College,Secondary,WENDOUREE,3355,50669.0,25.0,0.0
229,Beaufort Secondary College,Secondary,BEAUFORT,3373,51989.0,28.0,0.0
230,Ararat Secondary College,Secondary,ARARAT,3377,52066.0,23.0,0.0
231,Marian College,Secondary,ARARAT,3377,52066.0,,
232,Stawell Secondary College,Secondary,STAWELL,3380,51116.0,25.0,2.4
233,Warracknabeal Secondary College,Secondary,WARRACKNABEAL,3393,46267.0,,
234,Horsham College,Secondary,HORSHAM,3402,,29.0,1.8
235,St Brigid's College,Secondary,HORSHAM,3402,,27.0,4.8
236,Dimboola Memorial Secondary College,Secondary,DIMBOOLA,3414,50774.0,,
237,Sunbury College,Secondary,SUNBURY,3429,62356.0,25.0,1.7
238,Sunbury Downs Secondary College,Secondary,SUNBURY,3429,62356.0,,
239,Salesian College,Secondary,SUNBURY,3429,62356.0,,
240,Alice Miller School,Secondary,ROMSEY,3434,63200.0,,
241,Gisborne Secondary College,Secondary,GISBORNE,3437,72624.0,26.0,2.1
242,Kyneton High School,Secondary,KYNETON,3444,59453.0,,
243,Sacred Heart College,Secondary,KYNETON,3444,59453.0,,
244,Castlemaine Secondary College,Secondary,CASTLEMAINE,3450,51187.0,28.0,6.5
245,Daylesford Secondary College,Secondary,DAYLESFORD,3460,52140.0,27.0,2.0
246,Highview College,Secondary,MARYBOROUGH,3465,45704.0,,
247,St Arnaud Secondary College,Secondary,ST ARNAUD,3478,46251.0,29.0,0.0
248,Donald High School,Secondary,DONALD,3480,43844.0,28.0,8.8
249,Red Cliffs Secondary College,Secondary,RED CLIFFS,3496,46034.0,24.0,0.6
250,Irymple Secondary College,Secondary,IRYMPLE,3498,50483.0,,
251,St Joseph's College Mildura,Secondary,MILDURA,3500,49597.0,,
252,Chaffey Secondary College,Secondary,MILDURA,3502,,,
253,Mildura Senior College,Secondary,MILDURA,3502,,25.0,1.3
254,Bendigo South East 7-10 Secondary College,Secondary,STRATHDALE,3550,54143.0,,
255,Catherine McAuley College,Secondary,BENDIGO,3550,54143.0,29.0,6.2
256,Weeroona College Bendigo,Secondary,BENDIGO,3552,,,
257,Bendigo Senior Secondary College,Secondary,BENDIGO,3552,,,
258,Crusoe 7-10 Secondary College,Secondary,KANGAROO FLAT,3555,51114.0,,
259,Eaglehawk Secondary College,Secondary,EAGLEHAWK,3556,48910.0,,
260,Rochester Secondary College,Secondary,ROCHESTER,3561,47891.0,31.0,4.2
261,Echuca College,Secondary,ECHUCA,3564,50340.0,27.0,2.0
262,St Joseph's College,Secondary,ECHUCA,3564,50340.0,29.0,3.6
263,Cohuna Secondary College,Secondary,COHUNA,3568,46986.0,27.0,2.7
264,Kerang Technical High School,Secondary,KERANG,3579,44221.0,28.0,6.5
265,Swan Hill College,Secondary,SWAN HILL,3585,48911.0,27.0,1.4
266,St Mary MacKillop College,Secondary,SWAN HILL,3585,48911.0,28.0,2.8
267,Greater Shepparton Secondary College,Secondary,SHEPPARTON,3630,48998.0,,
268,Notre Dame College,Secondary,SHEPPARTON,3630,48998.0,28.0,4.1
269,Shepparton ACE Secondary College,Secondary,SHEPPARTON,3630,48998.0,,
270,Numurkah Secondary College,Secondary,NUMURKAH,3636,49516.0,24.0,0.0
271,Nathalia Secondary College,Secondary,NATHALIA,3638,47446.0,28.0,0.0
272,St Mary of the Angels College,Secondary,NATHALIA,3638,47446.0,,
273,Cobram Secondary College,Secondary,COBRAM,3644,48339.0,26.0,0.9
274,Broadford Secondary College,Secondary,BROADFORD,3658,57282.0,28.0,2.7
275,Euroa Secondary College,Secondary,EUROA,3666,48785.0,27.0,3.3
276,FCJ College,Secondary,BENALLA,3672,50217.0,,
277,Wangaratta High School,Secondary,WANGARATTA,3676,,26.0,3.9
