School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,Locality_y,VCE Median Study Score,Percentage of study scores of 40 and over
Nazareth College,WAVERLEY GARDENS,3170,60286.0,53173.0,NOBLE PARK NORTH,29.0,9.1
Killester College,SPRINGVALE,3171,43919.0,40526.0,SPRINGVALE,31.0,3.7
Minaret College,SPRINGVALE,3171,43919.0,40526.0,OFFICER,27.0,0.6
Minaret College,SPRINGVALE,3171,43919.0,40526.0,SPRINGVALE,29.0,5.1
Keysborough Secondary College,Springvale South,3172,53203.0,47426.0,,,
Haileybury College,KEYSBOROUGH,3173,55720.0,50284.0,KEYSBOROUGH,35.0,26.8
Lighthouse Christian College,KEYSBOROUGH,3173,55720.0,50284.0,KEYSBOROUGH,30.0,4.6
Lighthouse Christian College,KEYSBOROUGH,3173,55720.0,50284.0,CRANBOURNE,31.0,6.8
Mt Hira College,KEYSBOROUGH,3173,55720.0,50284.0,KEYSBOROUGH,26.0,3.5
Haileybury Girls College,KEYSBOROUGH,3173,55720.0,50284.0,KEYSBOROUGH,36.0,29.2
Carwatha College P-12,NOBLE PARK,3174,46736.0,44666.0,NOBLE PARK NORTH,27.0,2.6
Noble Park Secondary College,NOBLE PARK,3174,46736.0,44666.0,NOBLE PARK,25.0,1.5
Lyndale Secondary College,DANDENONG NORTH,3175,48060.0,45000.0,DANDENONG NORTH,28.0,1.1
Dandenong High School,DANDENONG,3175,48060.0,45000.0,DANDENONG,24.0,1.6
St John's Regional College,DANDENONG,3175,48060.0,45000.0,DANDENONG,25.0,1.3
Cornish College,BANGHOLME,3175,48060.0,45000.0,BANGHOLME,29.0,5.3
Doveton College,DOVETON,3177,45837.0,45055.0,,,
Rowville Secondary College,ROWVILLE,3178,62252.0,54788.0,ROWVILLE,25.0,1.9
Scoresby Secondary College,SCORESBY,3179,58242.0,51812.0,SCORESBY,25.0,1.1
Prahran High School,Windsor,3181,78771.0,64803.0,,,
Presentation College Windsor,WINDSOR,3181,78771.0,64803.0,,,
St Marys College Melbourne,ST KILDA,3182,69095.0,57970.0,,,
St Michael's Grammar School,ST KILDA,3182,69095.0,57970.0,ST KILDA,32.0,12.7
Cheder Levi Yitzchok Inc,ST KILDA,3182,69095.0,57970.0,,,
Yeshivah College,ST KILDA EAST,3183,67852.0,57267.0,ST KILDA EAST,34.0,15.9
Beth Rivkah Ladies College,ST KILDA EAST,3183,67852.0,57267.0,ST KILDA EAST,37.0,30.2
Elwood College,ELWOOD,3184,80576.0,64548.0,ELWOOD,30.0,3.7
Yesodei HaTorah College,ELWOOD,3184,80576.0,64548.0,BRIGHTON,33.0,0.0
Caulfield Grammar School,ELSTERNWICK,3185,79823.0,60544.0,WHEELERS HILL,34.0,21.1
Caulfield Grammar School,ELSTERNWICK,3185,79823.0,60544.0,ST KILDA EAST,35.0,20.1
Adass Israel School,ELSTERNWICK,3185,79823.0,60544.0,ELSTERNWICK,,
Adass Israel School,ELSTERNWICK,3185,79823.0,60544.0,EAST ST KILDA,,
Divrei Emineh,ELSTERNWICK,3185,79823.0,60544.0,,,
Star of the Sea College,BRIGHTON,3186,103637.0,60517.0,BRIGHTON,34.0,16.9
Firbank Grammar School,BRIGHTON,3186,103637.0,60517.0,BRIGHTON,35.0,22.9
Brighton Grammar School,BRIGHTON,3186,103637.0,60517.0,BRIGHTON,35.0,25.1
Brighton Secondary College,BRIGHTON EAST,3187,91512.0,61966.0,BRIGHTON EAST,30.0,9.0
St Leonard's College,BRIGHTON EAST,3187,91512.0,61966.0,BRIGHTON EAST,34.0,17.2
Cheltenham Secondary College,MOORABBIN,3189,67481.0,57136.0,CHELTENHAM,29.0,5.7
Sandringham College,SANDRINGHAM,3191,90913.0,62938.0,SANDRINGHAM,30.0,7.9
Beaumaris Secondary College,Beaumaris,3193,88820.0,59796.0,,,
Tombolo Academy,BEAUMARIS,3193,88820.0,59796.0,,,
Mentone Girls Secondary College,MENTONE,3194,70211.0,59819.0,,,
Kilbreda College,MENTONE,3194,70211.0,59819.0,MENTONE,33.0,13.1
Mentone Grammar School,MENTONE,3194,70211.0,59819.0,MENTONE,34.0,16.7
Mentone Girls' Grammar School,MENTONE,3194,70211.0,59819.0,MENTONE,35.0,17.9
St Bede's College,MENTONE,3194,70211.0,59819.0,MENTONE,30.0,5.9
Mordialloc College,MORDIALLOC,3195,70672.0,59343.0,MORDIALLOC,30.0,7.7
Parkdale Secondary College,MORDIALLOC,3195,70672.0,59343.0,MORDIALLOC,30.0,4.5
Patterson River Secondary College,SEAFORD,3198,59323.0,54085.0,,,
Mount Erin Secondary College,FRANKSTON SOUTH,3199,58074.0,51193.0,,,
Frankston High School,FRANKSTON,3199,58074.0,51193.0,FRANKSTON,31.0,9.8
McClelland Secondary College,FRANKSTON,3199,58074.0,51193.0,FRANKSTON,29.0,3.6
John Paul College,FRANKSTON EAST,3199,58074.0,51193.0,FRANKSTON,29.0,5.3
Bayside Christian College,FRANKSTON,3199,58074.0,51193.0,LANGWARRIN SOUTH,30.0,5.0
